SentenceID,NumberOfWords,AverageSurprisalWithPunct,CorpusName
0,12,3.555351325,psucssa
1,3,3.716920333333334,psucssa
2,5,2.987434,psucssa
3,4,4.115661,psucssa
4,14,3.485865857142857,psucssa
6,8,3.8748426250000003,psucssa
7,3,4.145495,psucssa
8,13,3.8992853846153843,psucssa
9,8,3.8823278499999994,psucssa
10,11,3.8871476363636357,psucssa
11,3,3.861999666666667,psucssa
12,7,3.8367384285714285,psucssa
13,6,3.571916,psucssa
14,6,3.6860795166666667,psucssa
15,14,2.7879006428571427,psucssa
16,4,3.6305465000000003,psucssa
17,9,3.926807666666667,psucssa
18,3,4.570556,psucssa
19,18,4.182536577777777,psucssa
20,9,3.471078111111111,psucssa
21,6,4.989385833333333,psucssa
22,16,3.45701645625,psucssa
23,13,2.8133006999999997,psucssa
24,11,3.2935490909090905,psucssa
25,18,3.52478415,psucssa
26,10,3.3277915,psucssa
27,3,3.2460204000000004,psucssa
29,7,4.205026000000001,psucssa
31,3,5.421624666666666,psucssa
32,8,2.139748825,psucssa
33,4,3.1034928,psucssa
34,3,4.222138666666667,psucssa
35,16,3.1528956375000003,psucssa
36,10,3.17848167,psucssa
37,4,4.6297802500000005,psucssa
38,5,3.3710678,psucssa
39,5,3.40535078,psucssa
40,5,3.40535078,psucssa
41,3,4.4210259999999995,psucssa
42,4,3.64908025,psucssa
43,3,4.4210259999999995,psucssa
44,4,3.64908025,psucssa
45,5,3.3750184000000005,psucssa
46,17,2.857436511764706,psucssa
47,5,3.0111342,psucssa
48,8,2.8886389374999997,psucssa
49,4,3.44093875,psucssa
51,6,3.86200135,psucssa
52,7,4.158317,psucssa
55,4,2.81138275,psucssa
56,4,3.0012922500000005,psucssa
58,8,3.635748875,psucssa
59,13,3.149772423076923,psucssa
66,6,3.399829716666666,psucssa
69,26,3.149953788461538,psucssa
70,17,2.9236373529411765,psucssa
72,3,4.010140333333333,psucssa
73,17,2.4119977647058826,psucssa
74,11,3.0365243636363632,psucssa
75,5,4.1927942,psucssa
76,5,5.0211901999999995,psucssa
77,10,3.7285306000000005,psucssa
78,3,5.3669270000000004,psucssa
79,3,5.3669270000000004,psucssa
80,3,5.3669270000000004,psucssa
82,11,3.3855648181818183,psucssa
83,12,2.8350866666666668,psucssa
84,6,5.010734500000001,psucssa
85,12,3.641963975000001,psucssa
87,8,3.6805509999999995,psucssa
92,11,3.317564890909091,psucssa
95,4,3.35414925,psucssa
96,8,2.8135239499999996,psucssa
97,19,2.746273542105263,psucssa
98,16,2.6355173687499995,psucssa
99,11,4.287306372727273,psucssa
100,3,3.430557333333333,psucssa
101,4,6.601659500000001,psucssa
102,4,5.77538075,psucssa
103,4,5.84431175,psucssa
104,4,3.76999025,psucssa
105,4,3.76999025,psucssa
106,6,5.0087285,psucssa
108,13,3.8550649846153844,psucssa
109,13,3.8550649846153844,psucssa
110,8,4.588220124999999,psucssa
111,8,4.588220124999999,psucssa
112,10,3.4169460999999997,psucssa
113,4,2.9435282249999997,psucssa
114,20,3.710161575,psucssa
115,8,3.635748875,psucssa
116,3,3.568344666666667,psucssa
121,5,4.465538,psucssa
122,11,3.0805263636363636,psucssa
124,10,3.702538409999999,psucssa
125,7,4.6186297142857144,psucssa
126,10,3.4169460999999997,psucssa
127,3,5.628127333333334,psucssa
128,7,3.622262814285715,psucssa
129,14,3.4718948928571427,psucssa
130,10,3.0732192,psucssa
131,6,3.7589012500000005,psucssa
132,5,4.364942600000001,psucssa
133,4,3.257472025,psucssa
134,10,3.4169460999999997,psucssa
135,10,3.4169460999999997,psucssa
136,6,4.412145833333334,psucssa
137,5,4.4470149999999995,psucssa
138,4,3.47835775,psucssa
139,10,3.03007589,psucssa
142,9,3.4434186555555555,psucssa
144,5,3.5677134,psucssa
145,16,3.7855667312500003,psucssa
146,8,3.5122692125,psucssa
147,13,3.314409661538462,psucssa
148,6,3.9852836166666665,psucssa
149,3,4.377276,psucssa
150,21,3.1949579761904765,psucssa
151,15,3.4627344533333333,psucssa
152,12,3.276917916666667,psucssa
154,7,3.567213857142857,psucssa
155,3,5.059897,psucssa
156,18,2.9100190388888882,psucssa
157,8,2.8681781125,psucssa
158,9,2.8150901444444445,psucssa
159,3,4.31374,psucssa
161,6,3.2192796,psucssa
162,3,3.154701666666666,psucssa
163,3,3.154701666666666,psucssa
164,3,3.154701666666666,psucssa
165,7,3.211838114285714,psucssa
166,3,3.154701666666666,psucssa
167,7,3.211838114285714,psucssa
170,12,3.1082503333333324,psucssa
174,18,2.894862477777778,psucssa
175,10,3.19834954,psucssa
176,8,3.635748875,psucssa
177,3,4.307715666666667,psucssa
178,9,2.857813855555556,psucssa
179,3,3.066784,psucssa
180,13,3.638648853846154,psucssa
183,15,3.4518172,psucssa
185,5,3.8843176,psucssa
186,5,4.723398400000001,psucssa
187,9,2.8150901444444445,psucssa
188,9,2.800985222222222,psucssa
189,15,3.9872138666666666,psucssa
190,9,2.800985222222222,psucssa
191,16,3.16001035625,psucssa
192,5,2.7491394199999997,psucssa
193,3,4.457860666666666,psucssa
194,8,3.0800319,psucssa
195,6,3.7882828666666666,psucssa
196,5,3.4084000000000003,psucssa
197,4,4.20199075,psucssa
198,5,4.076241999999999,psucssa
199,5,3.7038261999999995,psucssa
200,5,3.6373754,psucssa
202,16,3.1528956375000003,psucssa
203,10,3.17848167,psucssa
204,6,3.559032,psucssa
205,6,3.0442123333333337,psucssa
207,18,4.263332666666667,psucssa
208,7,3.9900159714285715,psucssa
211,4,2.891820175,psucssa
212,3,2.9060395666666667,psucssa
213,5,4.4650324,psucssa
215,3,4.192751666666666,psucssa
216,5,4.1885814,psucssa
217,4,4.47513525,psucssa
218,11,3.0447416363636366,psucssa
219,4,3.257472025,psucssa
222,10,2.8927535099999995,psucssa
223,5,3.6769182000000002,psucssa
224,3,2.5509622333333333,psucssa
226,12,3.839913633333333,psucssa
227,10,3.6272947800000006,psucssa
228,4,2.891820175,psucssa
229,3,2.9060395666666667,psucssa
230,5,4.4650324,psucssa
232,10,3.03724069,psucssa
233,9,3.265324144444444,psucssa
234,9,3.6441182888888886,psucssa
235,13,3.7787128153846155,psucssa
236,8,3.33814375,psucssa
238,3,4.087077333333333,psucssa
239,8,3.33814375,psucssa
241,3,4.087077333333333,psucssa
243,7,3.786116857142857,psucssa
244,10,3.9924878699999993,psucssa
245,8,4.0854982125,psucssa
246,6,3.5637491666666663,psucssa
247,7,2.718670627142857,psucssa
248,3,2.6807976666666664,psucssa
249,18,2.714306988888889,psucssa
250,3,3.914776,psucssa
251,10,3.02443905,psucssa
252,3,3.693863666666667,psucssa
253,3,4.863450333333334,psucssa
254,3,5.1282146666666675,psucssa
255,3,4.845395,psucssa
256,21,2.6856834190476184,psucssa
257,11,2.485561309090909,psucssa
260,17,3.5206224941176467,psucssa
261,7,3.5327968571428565,psucssa
262,3,3.590026333333333,psucssa
263,17,2.920010805882353,psucssa
264,13,3.6789121538461536,psucssa
265,21,2.244768723809524,psucssa
266,5,3.65940924,psucssa
267,7,3.4066395999999997,psucssa
268,4,3.374656,psucssa
270,14,3.8616765285714285,psucssa
271,3,3.107120666666667,psucssa
272,5,3.13732024,psucssa
273,13,3.6701816923076924,psucssa
274,3,4.675280333333333,psucssa
275,5,4.723398400000001,psucssa
283,6,3.399829716666666,psucssa
286,10,3.8655720000000002,psucssa
288,6,2.8779377166666666,psucssa
289,10,3.65457483,psucssa
290,7,3.2591528571428574,psucssa
292,5,4.174531,psucssa
293,18,3.6514529277777776,psucssa
294,6,5.150182833333334,psucssa
295,3,2.4582594666666666,psucssa
296,5,4.174875200000001,psucssa
297,9,3.218584266666667,psucssa
298,11,3.978559963636363,psucssa
300,13,3.8986804076923067,psucssa
301,17,3.8232691352941175,psucssa
302,4,3.80431025,psucssa
303,9,3.218584266666667,psucssa
304,11,3.978559963636363,psucssa
306,13,3.8986804076923067,psucssa
307,17,3.8232691352941175,psucssa
308,4,3.80431025,psucssa
310,4,1.6764387749999998,psucssa
311,6,3.712976333333333,psucssa
312,6,3.712976333333333,psucssa
313,7,3.0480179000000005,psucssa
314,13,2.6833832153846155,psucssa
315,8,3.0174271875000005,psucssa
316,11,3.2715601545454547,psucssa
317,9,2.6148653444444445,psucssa
318,9,2.6148653444444445,psucssa
319,24,3.6266572291666663,psucssa
323,19,3.3976344999999997,psucssa
324,3,2.8656556666666666,psucssa
325,3,5.672223,psucssa
326,8,2.8135239499999996,psucssa
327,26,3.140630038461538,psucssa
328,6,4.376618666666666,psucssa
329,6,4.5912365,psucssa
330,3,3.626091333333333,psucssa
331,6,2.850396416666667,psucssa
