"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-My workers","UPDATE-My workers","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A11SWVGXLZCTQF","https://requester.mturk.com/workers/A11SWVGXLZCTQF","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A12V2IEWROX7ZQ","https://requester.mturk.com/workers/A12V2IEWROX7ZQ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A12VVC5C5Y53VZ","https://requester.mturk.com/workers/A12VVC5C5Y53VZ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A13O7MR3K9JTC4","https://requester.mturk.com/workers/A13O7MR3K9JTC4","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A14R4R8CKF1U4R","https://requester.mturk.com/workers/A14R4R8CKF1U4R","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A15YV1SQ5GJGP9","https://requester.mturk.com/workers/A15YV1SQ5GJGP9","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A16XI3JQN3EWLZ","https://requester.mturk.com/workers/A16XI3JQN3EWLZ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A171ARPSKRJB93","https://requester.mturk.com/workers/A171ARPSKRJB93","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A182N7RLXGSCZG","https://requester.mturk.com/workers/A182N7RLXGSCZG","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A18EQ7DSCEEXLR","https://requester.mturk.com/workers/A18EQ7DSCEEXLR","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A18HKVZLIAQCWE","https://requester.mturk.com/workers/A18HKVZLIAQCWE","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A19HCBT1EH8484","https://requester.mturk.com/workers/A19HCBT1EH8484","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
